
PS C:\Users\imtiy\OneDrive\Desktop\Verilog\VERILOG_HDL> iverilog -o out.sim counter_bh.v counter_bh_tb.v
PS C:\Users\imtiy\OneDrive\Desktop\Verilog\VERILOG_HDL> vvp out.sim
VCD info: dumpfile dump.vcd opened for output.
time =                    0 | clk = 0 reset =0 enable = 0 | count = xxxx
time =                    5 | clk = 1 reset =0 enable = 0 | count = xxxx
time =                   10 | clk = 0 reset =1 enable = 0 | count = 0000
time =                   15 | clk = 1 reset =1 enable = 0 | count = 0000
time =                   20 | clk = 0 reset =1 enable = 0 | count = 0000
time =                   25 | clk = 1 reset =1 enable = 0 | count = 0000
time =                   30 | clk = 0 reset =0 enable = 0 | count = 0000
time =                   35 | clk = 1 reset =0 enable = 0 | count = 0000
time =                   40 | clk = 0 reset =0 enable = 1 | count = 0000
time =                   45 | clk = 1 reset =0 enable = 1 | count = 0001
time =                   50 | clk = 0 reset =0 enable = 1 | count = 0001
time =                   55 | clk = 1 reset =0 enable = 1 | count = 0010
time =                   60 | clk = 0 reset =0 enable = 1 | count = 0010
time =                   65 | clk = 1 reset =0 enable = 1 | count = 0011
time =                   70 | clk = 0 reset =0 enable = 1 | count = 0011
time =                   75 | clk = 1 reset =0 enable = 1 | count = 0100
time =                   80 | clk = 0 reset =0 enable = 1 | count = 0100
time =                   85 | clk = 1 reset =0 enable = 1 | count = 0101
time =                   90 | clk = 0 reset =0 enable = 1 | count = 0101
time =                   95 | clk = 1 reset =0 enable = 1 | count = 0110
time =                  100 | clk = 0 reset =0 enable = 1 | count = 0110
time =                  105 | clk = 1 reset =0 enable = 1 | count = 0111
time =                  110 | clk = 0 reset =0 enable = 1 | count = 0111
time =                  115 | clk = 1 reset =0 enable = 1 | count = 1000
time =                  120 | clk = 0 reset =0 enable = 1 | count = 1000
time =                  125 | clk = 1 reset =0 enable = 1 | count = 1001
time =                  130 | clk = 0 reset =0 enable = 1 | count = 1001
time =                  135 | clk = 1 reset =0 enable = 1 | count = 1010
time =                  140 | clk = 0 reset =0 enable = 1 | count = 1010
time =                  145 | clk = 1 reset =0 enable = 1 | count = 1011
time =                  150 | clk = 0 reset =0 enable = 1 | count = 1011
time =                  155 | clk = 1 reset =0 enable = 1 | count = 1100
time =                  160 | clk = 0 reset =0 enable = 1 | count = 1100
time =                  165 | clk = 1 reset =0 enable = 1 | count = 1101
time =                  170 | clk = 0 reset =0 enable = 1 | count = 1101
time =                  175 | clk = 1 reset =0 enable = 1 | count = 1110
time =                  180 | clk = 0 reset =0 enable = 1 | count = 1110
time =                  185 | clk = 1 reset =0 enable = 1 | count = 1111
time =                  190 | clk = 0 reset =0 enable = 1 | count = 1111
time =                  195 | clk = 1 reset =0 enable = 1 | count = 0000
time =                  200 | clk = 0 reset =0 enable = 1 | count = 0000
time =                  205 | clk = 1 reset =0 enable = 1 | count = 0001
time =                  210 | clk = 0 reset =0 enable = 1 | count = 0001
time =                  215 | clk = 1 reset =0 enable = 1 | count = 0010
time =                  220 | clk = 0 reset =0 enable = 1 | count = 0010
time =                  225 | clk = 1 reset =0 enable = 1 | count = 0011
time =                  230 | clk = 0 reset =0 enable = 1 | count = 0011
time =                  235 | clk = 1 reset =0 enable = 1 | count = 0100
time =                  240 | clk = 0 reset =0 enable = 0 | count = 0100
time =                  245 | clk = 1 reset =0 enable = 0 | count = 0100
time =                  250 | clk = 0 reset =0 enable = 0 | count = 0100
time =                  255 | clk = 1 reset =0 enable = 0 | count = 0100
time =                  260 | clk = 0 reset =0 enable = 0 | count = 0100
time =                  265 | clk = 1 reset =0 enable = 0 | count = 0100
time =                  270 | clk = 0 reset =0 enable = 0 | count = 0100
time =                  275 | clk = 1 reset =0 enable = 0 | count = 0100
time =                  280 | clk = 0 reset =0 enable = 1 | count = 0100
time =                  285 | clk = 1 reset =0 enable = 1 | count = 0101
time =                  290 | clk = 0 reset =0 enable = 1 | count = 0101
time =                  295 | clk = 1 reset =0 enable = 1 | count = 0110
time =                  300 | clk = 0 reset =0 enable = 1 | count = 0110
time =                  305 | clk = 1 reset =0 enable = 1 | count = 0111
time =                  310 | clk = 0 reset =1 enable = 1 | count = 0000
time =                  315 | clk = 1 reset =1 enable = 1 | count = 0000
time =                  320 | clk = 0 reset =0 enable = 1 | count = 0000
time =                  325 | clk = 1 reset =0 enable = 1 | count = 0001
counter_bh_tb.v:41: $finish called at 330 (1s)
time =                  330 | clk = 0 reset =0 enable = 1 | count = 0001
